101,Cheese,Camembert,933.92
102,Cheese,"Havarti, Salsa",384.63
103,Cheese,Provolone,931.04
104,Cheese,Swiss,942.06
105,Cheese,Taleggio D.o.p.,609.37
106,Cheese,Gouda Smoked,698.05
107,Cheese,Montery Jack,798.09
108,Cheese,Feta,968.19
109,Cheese,St. Andre,541.33
110,Cheese,Parmigiano Reggiano,145.99
111,Cheese,"Woolwich Goat, Log",775.42
112,Cheese,Bocconcini,147.43
113,Cheese,"Woolwich Goat, Log",913.42
114,Cheese,Marble,942.96
115,Cheese,Sheep Milk,550.8
116,Cheese,Le Cheve Noir,468.97
117,Cheese,Gorgonzola,398.16
118,Cheese,Roquefort Pappillon,533.55
119,Cheese,Marble,687.37
120,Cheese,"Manchego, Spanish",469.97
121,Cheese,Colby,435.36
122,Cheese,Goat,67.87
123,Cheese,Parmesan Grated,684.22
124,Cheese,Bocconcini,361.87
125,Cheese,"Brie, Cups 125g",927.86
126,Cheese,Augre Des Champs,704.45
127,Cheese,Ermite Bleu,500.51
128,Cherries,"Maraschino,jar",189.41
129,Cherries,"Bing, Canned",831.08
130,Chicken,White Meat With Tender,647.81
131,Chicken,Whole Fryers,617.25
132,Chicken,Wieners,215.13
133,Chicken,"Breast, 5 - 7 Oz",726.35
134,Chicken,Wieners,777.65
135,Chicken,"Leg, Boneless",4.08
136,Chicken,"Leg, Boneless",112.96
137,Chicken,Wieners,240.1
138,Chicken,Bones,553.18
139,Chinese Foods,Pepper Beef,52.74
140,Chinese Foods,Chicken Wing,728.22
141,Chinese Foods,Cantonese,462.16
142,Chinese Foods,Pepper Beef,478.08
143,Chips,Miss Vickies,42.41
144,Chips,Assorted,40.03
145,Chocolate,Semi Sweet,979.0
146,Chocolate,Sugar Free Semi Choc,33.64
147,Chocolate,"Semi Sweet, Calets",162.64
148,Chocolate,Feathers,598.28
149,Chocolate,Dark,527.78
150,Chocolate,Unsweetened,497.38
151,Chocolate,"Semi Sweet, Calets",881.45
152,Chocolate,Milk,275.27
153,Chocolate,Unsweetened,41.26
154,Chocolate Bar,Coffee Crisp,128.06
155,Chocolate Bar,Reese Pieces,521.27
156,Chocolate Bar,Reese Pieces,397.24
157,Cinnamon,Ground,485.62
158,Cleaner,Bleach,138.48
159,Club Soda,"Schweppes, 355 Ml",705.1
160,Coconut,Whole,27.15
161,Coconut,"Creamed, Pure",634.59
162,Coconut,"Creamed, Pure",237.24
163,Coconut,"Shredded, Sweet",18.53
164,Coconut,"Shredded, Sweet",516.06
165,Coconut,"Creamed, Pure",540.53
166,Coffee,Hazelnut Cream,671.58
167,Coffee,Cafe Moreno,240.36
168,Coffee,Dark Roast,803.54
169,Coffee,Decaffeinato Coffee,25.15
170,Coffee,10oz Cup 92961,910.61
171,Coffee,Frthy Coffee Crisp,963.23
172,Coffee,Irish Cream,99.67
173,Coffee,French Vanilla Frothy,257.62
174,Coffee,Flavoured,268.45
175,Coffee,French Vanilla Frothy,335.65
176,Coffee,Dark Roast,270.55
177,Coffee,Almond Amaretto,416.95
178,Cognac,Courvaisier,66.3
179,Compound,Mocha,578.5
180,Compound,Mocha,84.01
181,Compound,Passion Fruit,42.07
182,Containter,3oz Microwave Rect.,837.66
183,Containter,3oz Microwave Rect.,908.64
184,Cookie,Dough Variety,292.71
185,Cookie,Dough Variety,668.04
186,Cookie Dough,Chunky,879.07
187,Cookie Dough,Chocolate Chip,922.1
188,Cookies,"Oreo, 4 Pack",510.98
189,Cookies,Amaretto,237.46
190,Coriander,Seed,938.67
191,Crab,"Dungeness, Whole",197.87
192,Crab,"Back Fin Meat, Canned",669.2
193,Crab,"Claws, 26 - 30",332.99
194,Crackers,Graham,62.19
195,Crackers,Graham,840.6
196,Cranberries,Dry,704.39
197,Cranberries,Fresh,905.83
198,Cranberries,Dry,673.92
199,Cream,35%,94.2
200,Creamers,10%,487.0
201,Creme De Banane,Marie,82.52
202,Creme De Banane,Marie,145.42
203,Crush,"Orange, 355ml",12.18
204,Cucumber,Pickling Ontario,676.99
205,Cumin,Whole,346.78
206,Cumin,Ground,232.47
207,Curry Paste,Madras,589.18
208,Dc,Sakura Fu,420.42
209,Dill Weed,Dry,337.4
210,Doilies,"8, Paper",359.92
211,Doilies,"7, Paper",91.11
212,Doilies,"8, Paper",985.67
213,Doilies,"7, Paper",102.05
214,Dr. Pepper,355ml,737.39
215,Duck,Legs,431.08
216,Ecolab,Balanced Fusion,256.96
217,Ecolab,Lime - A - Way 4/4 L,27.73
218,Edible Flower,Mixed,236.63
219,Egg,Salad Premix,365.32
220,Eggplant,Asian,319.71
221,Eggs,Extra Large,677.63
222,Eggs,Extra Large,283.01
223,Energy Drink,Redbull 355ml,399.97
224,Energy Drink,Redbull 355ml,955.15
225,Extract,Almond,711.92
226,Extract,Rum,43.51
227,Fennel,Seeds,827.18
228,Fiddlehead,Frozen,788.75
229,Fiddlehead,Frozen,774.21
230,Filter,Coffee,636.74
231,Fish,"Soup Base, Bouillon",139.87
232,Fish,"Artic Char, Cold Smoked",525.75
233,Fish,"Artic Char, Cold Smoked",164.84
234,Fish,"Halibut, Cold Smoked",667.82
235,Fish,"Artic Char, Cold Smoked",586.41
236,Flavouring,Raspberry,145.37
237,Flavouring,Orange,185.82
238,Flour,"Corn, Fine",33.0
239,Flour,Masa De Harina Mexican,617.29
240,Flour,Pastry,152.56
241,Flower,Commercial Spider,278.51
242,Flower,Daisies,498.58
243,Foil,Round Foil,296.93
244,Fond,Chocolate,53.96
245,Food Colouring,Pink,85.24
246,Food Colouring,Green,192.24
247,Fork,Plastic,242.98
248,Garbage Bags,Clear,192.71
249,Garbage Bags,Clear,740.22
250,Garlic,"Primerba, Paste",826.3
251,Gatorade,Fruit Punch,442.97
252,Gatorade,Fruit Punch,230.86
253,Gelatine Leaves,Bulk,430.07
254,Ginger,Ground,789.27
255,Ginsing,Fresh,930.77
256,Glass,"Wine, Plastic, Clear 5 Oz",36.11
257,Glass,Juice Clear 5oz 55005,971.87
258,Glaze,Apricot,691.63
259,Gloves,Goldtouch Disposable,956.62
260,Gloves,Goldtouch Disposable,134.57
261,Goat,Whole Cut,674.03
262,Grapes,Black,338.94
263,Grapes,Red,14.15
264,Hagen Daza,Dk Choocolate,346.81
265,Halibut,Fletches,573.37
266,Halibut,Fletches,962.43
267,Halibut,"Whole, Fresh",664.15
268,Halibut,Fletches,372.06
269,Ham,Proscuitto,540.43
270,Ham,Virginia,638.79
271,Ham,Cooked,503.81
272,Horseradish,Prepared,562.35
273,Horseradish,Prepared,156.63
274,Hot Chocolate,Individual,968.39
275,Ice,"Clear, 300 Lb For Carving",29.93
276,Ice Cream,Strawberry,413.32
277,Ice Cream Bar,Drumstick,826.13
278,Icecream,Dibs,914.39
279,Iced Tea,"Lemon, 340ml",739.44
280,Irish Cream,Baileys,731.84
281,Irish Cream,Butterscotch,557.0
282,Island Oasis,Strawberry,771.42
283,Island Oasis,Strawberry,171.74
284,Island Oasis,Cappucino Mix,763.08
285,Island Oasis,Ice Cream Mix,663.35
286,Jello,Assorted,652.48
287,Jolt Cola,Red Eye,949.63
288,Juice,Lagoon Mango,473.33
289,Juice,Ocean Spray Kiwi,204.84
290,Juice,Orangina,77.09
291,Juice,Happy Planet,96.04
292,Juice,Propel Sport,85.63
293,Juice,Ocean Spray Cranberry,671.82
294,Juice,Lagoon Mango,736.23
295,Juice,"Clamato, 341 Ml",303.81
296,Juice,Lemon,496.74
297,Juice,"Apple, 500 Ml",508.33
298,Juice,Orange,601.57
299,Lamb,"Whole Head Off,nz",13.36
300,Lamb,"Whole Head Off,nz",214.38
