301,Lamb,Sausage Casings,38.11
302,Lamb,Whole Head Off,782.49
303,Lamb,"Racks, Frenched",246.3
304,Lamb,Rack,70.08
305,Lamb,"Racks, Frenched",786.71
306,Lamb Leg,Bone - In Nz,413.82
307,Lamb Rack,Ontario,440.04
308,Langers,Mango Nectar,401.77
309,Leeks,Large,616.15
310,Lemon Balm,Fresh,151.36
311,Lemonade,"Natural, 591 Ml",639.7
312,Lemonade,Pineapple Passion,405.98
313,Lentils,"Red, Dry",575.24
314,Lettuce,Curly Endive,830.8
315,Lettuce,Romaine,33.76
316,Lettuce,"Romaine, Heart",840.59
317,Lettuce,Frisee,189.86
318,Lettuce,Boston Bib - Organic,918.43
319,Lettuce,Treviso,637.97
320,Lettuce,Romaine,406.2
321,Lid,0090 Clear,931.2
322,Lid,3oz Med Rec,289.59
323,Lid Tray,12in Dome,700.6
324,Lid Tray,16in Dome,696.89
325,Lid Tray,12in Dome,259.07
326,Lid Tray,16in Dome,212.93
327,Lid Tray,12in Dome,586.71
328,Lighter,Bbq,88.49
329,Liners,"Banana, Paper",709.38
330,Liquid Aminios Acid,Braggs,78.46
331,Loaf Pan,"2 Lb, Foil",847.36
332,Lobster,Cooked,380.22
333,Longos,Grilled Chicken With,191.71
334,Longos,Grilled Chicken With,695.87
335,Longos,Lasagna Veg,210.17
336,Longos,Grilled Salmon With Bbq,198.98
337,Longos,Lasagna Beef,409.31
338,Longos,Penne With Pesto,309.25
339,Macaroons,Homestyle Two Bit,616.06
340,Marsala,"Sperone, Fine, D.o.c.",320.2
341,Marsala,"Sperone, Fine, D.o.c.",706.08
342,Mcguinness,Blue Curacao,241.7
343,Melon,Watermelon Yellow,351.56
344,Melon,Watermelon Yellow,296.64
345,Milk,1%,335.16
346,Milk,1%,917.27
347,Milk,Condensed,368.27
348,Milk,Condensed,49.17
349,Milk,Chocolate 250 Ml,966.43
350,Milk,1%,181.73
351,Milk,Chocolate 250 Ml,891.18
352,Milkettes,2%,586.26
353,Mince Meat,Filling,608.73
354,Mince Meat,Filling,685.49
355,Mint,Fresh,283.32
356,Molasses,Fancy,598.5
357,Monkfish,Fresh,145.96
358,Mousse,Mango,720.29
359,Mousse,Passion Fruit,101.58
360,Muffin,Mix - Strawberry Rhubarb,795.66
361,Muffin,Mix - Bran And Maple 15l,182.6
362,Muffin Batt,Ban Dream Zero,413.14
363,Muffin Mix,Corn Harvest,371.57
364,Muffin Mix,Banana Nut,790.24
365,Muffin Mix,Raisin Bran,605.26
366,Muffin Mix,Morning Glory,190.61
367,Muffins,Assorted,50.22
368,Mushroom,Portebello,839.67
369,Mushroom,Morel Frozen,547.84
370,Mushroom,"Chantrelle, Fresh",229.2
371,Mushroom,Portebello,583.0
372,Mushroom,"Oyster, Fresh",493.35
373,Mushroom,"Shitake, Dry",223.0
374,Mushroom,Portebello,881.36
375,Mushroom,Portebello,628.21
376,Muskox,French Rack,416.46
377,Mustard,"Dry, Powder",984.97
378,Mustard,Seed,997.29
379,Nantucket,518ml,436.85
380,Nantucket,Orange Mango Cktl,805.64
381,Nantucket,Carrot Orange,661.35
382,Napkin White,Starched,855.57
383,Nestea,Iced Tea,780.7
384,Nestea,Iced Tea,114.85
385,Nestea,"Ice Tea, Diet",872.14
386,Nut,"Hazelnut, Ground, Natural",136.32
387,Nut,"Walnut, Pieces",397.39
388,Nut,"Pistachio, Shelled",41.24
389,Nut,"Almond, Blanched, Ground",583.78
390,Nutmeg,Ground,966.74
391,Ocean Spray,Kiwi Strawberry,455.78
392,Octopus,"Baby, Cleaned",812.64
393,Octopus,"Baby, Cleaned",85.48
394,Oil,Grapeseed Oil,763.59
395,Oil,"Food, Lacquer Spray",363.02
396,Oil,Safflower,785.18
397,Oil,"Truffle, Black",914.89
398,Olives,Morracan Dired,144.64
399,Onions,Spanish,793.1
400,Onions,Pearl,177.48
401,Onions,Cippolini,197.3
402,Onions,Spanish,146.69
403,Onions,Green,302.72
404,Onions,Red Pearl,791.15
405,Orange,"Canned, Mandarin",789.53
406,Oregano,"Dry, Rubbed",359.13
