109,360,4
188,180,1
36,278,2
165,463,4
184,471,3
76,90,1
7,146,2
75,384,3
54,141,5
156,461,4
8,448,4
101,378,2
174,95,4
108,224,4
76,319,1
110,487,3
26,523,5
170,328,3
185,520,4
61,408,3
55,510,1
41,424,5
149,256,2
144,555,1
57,299,2
83,512,3
162,516,4
48,164,2
30,13,3
152,177,3
147,486,1
148,199,1
161,354,5
162,506,1
47,147,2
195,549,2
146,243,5
71,402,5
19,309,1
183,388,5
81,193,1
3,499,1
121,42,1
190,85,5
78,335,5
193,178,1
158,242,2
44,475,4
92,315,5
85,294,5
124,449,2
121,367,3
162,434,1
136,214,1
116,101,1
164,373,1
96,389,5
14,290,2
170,547,1
185,494,5
12,211,1
104,558,5
160,559,5
10,542,4
112,231,4
124,516,3
65,413,3
133,340,4
163,563,2
106,123,3
199,239,3
35,83,4
67,180,1
128,551,4
45,367,5
114,220,1
93,440,1
141,18,3
37,426,5
68,488,5
145,224,3
71,401,5
166,242,1
145,200,4
106,561,5
193,72,3
180,67,2
5,225,1
185,365,5
110,284,3
171,106,2
96,457,4
54,232,2
43,163,2
41,248,1
20,64,3
19,127,2
28,1,5
139,164,1
80,363,1
20,23,5
74,299,3
192,365,2
84,108,3
141,100,2
128,188,4
188,448,5
122,214,2
105,183,3
130,289,4
175,432,1
175,35,2
179,458,3
1,187,5
83,457,3
127,514,5
146,284,5
69,237,1
179,171,5
173,459,4
66,7,3
189,394,4
156,156,3
196,514,3
161,10,1
64,416,1
143,26,3
36,507,1
143,121,3
55,155,4
49,256,4
98,265,2
136,169,3
42,436,4
72,399,5
182,171,5
110,299,4
183,145,3
47,351,4
143,139,4
140,294,3
11,394,1
173,288,2
57,19,5
138,563,1
128,547,3
103,95,2
116,336,3
122,394,5
78,416,1
20,376,4
157,256,1
130,406,5
95,131,4
159,444,1
196,230,1
165,298,2
75,114,5
150,344,3
60,523,4
116,453,3
74,18,3
136,138,4
37,19,5
126,283,3
117,45,2
72,547,2
171,349,4
194,277,2
196,50,4
2,551,1
122,424,1
32,409,4
150,69,5
36,366,1
197,97,2
82,505,5
62,211,3
105,455,2
99,50,3
43,122,2
52,426,4
139,128,1
108,388,3
71,111,3
35,513,1
119,347,4
120,551,3
194,441,3
74,48,2
77,83,5
122,519,2
129,363,5
108,519,5
56,329,3
199,469,3
170,495,2
131,399,2
76,288,1
37,492,2
66,20,5
199,260,1
105,77,3
35,308,1
100,209,1
14,398,4
58,187,1
2,324,3
45,360,5
93,402,2
141,248,3
145,418,5
189,52,3
17,548,2
172,172,4
200,222,4
32,89,2
22,459,4
139,445,2
49,365,2
129,279,5
123,401,1
17,274,5
172,233,1
187,93,5
80,264,5
86,64,2
20,506,3
182,204,3
36,50,4
101,393,2
124,447,2
153,35,4
119,207,5
55,506,2
110,274,2
85,241,2
151,481,3
14,319,5
149,142,4
39,294,1
170,341,5
1,259,5
193,284,3
145,229,4
6,534,4
6,474,2
148,329,1
17,445,3
131,381,3
87,208,5
26,425,2
141,63,3
157,537,1
49,124,1
124,89,2
112,440,4
104,513,4
145,298,1
89,188,1
133,492,2
73,113,2
89,498,1
152,545,5
167,65,3
11,317,2
155,398,5
178,209,5
49,346,2
43,112,3
31,290,3
103,129,4
130,434,1
13,450,3
57,303,5
181,139,2
42,302,4
120,467,5
24,184,3
172,486,1
123,62,3
108,375,3
123,396,3
51,350,2
97,337,1
61,129,5
155,383,3
113,289,1
102,409,5
95,72,4
24,549,3
18,198,1
103,207,4
187,96,4
58,379,5
103,16,5
187,217,4
162,121,1
61,250,5
18,184,1
100,220,3
76,409,5
128,51,4
195,109,4
81,25,2
156,69,5
47,307,2
173,127,3
69,248,4
17,532,4
44,175,2
74,497,1
72,239,2
41,164,5
171,375,2
50,304,3
199,360,5
55,405,3
190,215,3
121,194,2
145,504,5
66,63,4
104,51,4
16,159,1
153,125,2
176,102,5
171,33,4
161,162,1
16,352,2
18,482,4
124,508,4
129,387,2
184,548,2
102,548,1
92,26,3
171,214,2
82,30,3
87,197,4
17,542,4
49,99,2
59,513,4
185,451,4
30,413,3
49,235,1
84,561,4
111,490,4
129,438,3
24,218,5
50,461,3
154,219,4
158,330,5
17,348,2
5,210,3
159,483,1
17,67,1
172,197,5
180,110,1
15,374,4
65,214,3
167,510,3
5,478,2
173,437,2
163,411,4
146,5,4
28,451,2
60,542,5
18,293,4
183,14,1
90,116,5
155,242,1
51,357,2
114,212,4
192,433,4
56,231,3
126,302,3
25,125,4
17,96,1
71,461,5
26,179,2
196,355,1
64,454,4
179,319,1
69,321,3
86,541,2
31,17,2
15,263,5
160,313,5
34,208,4
144,226,4
1,479,4
76,67,5
171,276,4
25,261,2
83,20,3
93,57,3
173,457,2
188,465,4
116,87,1
52,307,3
199,532,1
61,162,1
23,310,5
38,279,4
129,459,4
69,344,1
176,194,3
60,379,3
161,378,5
104,141,4
150,491,1
89,351,4
7,524,5
128,172,4
83,47,3
80,352,3
86,517,5
41,295,4
192,512,5
100,35,2
122,216,5
107,282,2
121,376,3
80,276,1
78,245,4
168,285,3
14,404,4
40,347,3
115,408,3
36,277,4
4,105,2
22,61,5
150,185,4
37,4,2
20,225,3
11,517,5
68,221,2
39,391,2
45,162,2
46,188,2
36,133,4
41,71,2
13,137,2
121,4,4
176,421,1
35,405,2
144,41,4
56,180,1
123,111,1
16,371,3
162,169,3
188,525,1
101,460,5
37,244,4
56,170,4
178,48,3
182,275,1
21,463,4
6,358,1
192,217,5
112,535,4
8,24,3
188,360,4
116,502,1
38,532,4
52,542,1
172,455,1
16,96,2
43,519,2
40,240,3
36,297,1
77,433,1
141,147,4
191,228,3
79,460,5
55,474,4
138,564,2
169,122,4
51,288,4
190,465,1
48,356,5
29,168,1
163,144,2
49,75,2
189,198,4
116,187,4
117,10,1
183,391,4
69,94,1
35,476,4
82,388,3
8,380,4
162,87,5
109,215,2
196,338,1
98,349,3
108,529,1
129,138,5
84,495,5
79,462,1
196,2,4
